156.9.0.0,156.9.255.255,NA,US,Virginia,"Arlington (Aurora Highlands)",38.8645,-77.0573
156.10.0.0,156.10.255.255,EU,FI,Uusimaa,Helsinki,60.1699,24.9384
156.11.0.0,156.11.0.255,NA,CA,Ontario,Toronto,43.6532,-79.3832
156.11.1.0,156.11.1.255,NA,US,"New Jersey",Newark,40.7357,-74.1724
156.11.2.0,156.11.2.255,NA,CA,Ontario,Toronto,43.6532,-79.3832
156.11.3.0,156.11.7.255,NA,US,"New Jersey",Newark,40.7357,-74.1724
156.11.8.0,156.11.21.255,NA,CA,Manitoba,Winnipeg,49.8888,-97.1438
156.11.22.0,156.11.127.255,NA,US,"New Jersey",Newark,40.7357,-74.1724
156.11.128.0,156.11.191.255,NA,US,Illinois,Chicago,41.8781,-87.6298
156.11.192.0,156.11.225.255,NA,US,"New Jersey",Newark,40.7357,-74.1724
156.11.226.0,156.11.226.255,NA,CA,Ontario,Toronto,43.6532,-79.3832
156.11.227.0,156.11.239.255,NA,US,"New Jersey",Newark,40.7357,-74.1724
156.11.240.0,156.11.240.255,EU,IE,Leinster,"Dublin (Ballymount)",53.3124,-6.35723
156.11.241.0,156.11.241.255,EU,IE,Leinster,Dublin,53.3331,-6.24889
156.11.242.0,156.11.243.255,EU,GB,England,London,51.5074,-0.127758
156.11.244.0,156.11.255.255,NA,US,"New Jersey",Newark,40.7357,-74.1724
156.12.0.0,156.12.255.255,NA,US,Pennsylvania,Kutztown,40.5173,-75.7774
156.13.0.0,156.13.15.255,OC,NZ,Wellington,Wellington,-41.2865,174.776
156.13.16.0,156.13.23.255,OC,NZ,Gisborne,Gisborne,-38.6623,178.018
156.13.24.0,156.13.31.255,OC,NZ,Wellington,Wellington,-41.2865,174.776
156.13.32.0,156.13.32.255,OC,NZ,Gisborne,Gisborne,-38.6623,178.018
156.13.33.0,156.13.33.255,OC,NZ,Wellington,Wellington,-41.2865,174.776
156.13.34.0,156.13.35.255,OC,NZ,Gisborne,Gisborne,-38.6623,178.018
156.13.36.0,156.13.69.255,OC,NZ,Wellington,Wellington,-41.2865,174.776
156.13.70.0,156.13.71.255,AS,SG,,"Singapore (Downtown Core)",1.29096,103.852
156.13.72.0,156.13.103.255,OC,NZ,Wellington,Wellington,-41.2865,174.776
156.13.104.0,156.13.106.255,OC,NZ,Gisborne,Gisborne,-38.6623,178.018
156.13.107.0,156.13.107.255,OC,NZ,Wellington,Wellington,-41.2866,174.776
156.13.108.0,156.13.119.255,OC,NZ,Gisborne,Gisborne,-38.6623,178.018
156.13.120.0,156.13.175.255,OC,NZ,Wellington,Wellington,-41.2865,174.776
156.13.176.0,156.13.203.255,OC,NZ,Gisborne,Gisborne,-38.6623,178.018
156.13.204.0,156.13.204.255,OC,NZ,Wellington,Wellington,-41.2866,174.776
156.13.205.0,156.13.207.255,OC,NZ,Gisborne,Gisborne,-38.6623,178.018
156.13.208.0,156.13.215.255,OC,NZ,Wellington,Wellington,-41.2865,174.776
156.13.216.0,156.13.216.255,OC,NZ,Gisborne,Gisborne,-38.6623,178.018
156.13.217.0,156.13.219.255,OC,NZ,Wellington,Wellington,-41.2865,174.776
156.13.220.0,156.13.220.255,OC,NZ,Gisborne,Gisborne,-38.6623,178.018
156.13.221.0,156.13.255.255,OC,NZ,Wellington,Wellington,-41.2865,174.776
156.14.0.0,156.14.255.255,EU,IT,Campania,Capua,41.1061,14.213
156.15.0.0,156.15.255.255,NA,US,Texas,"Houston (Downtown)",29.7579,-95.3674
156.16.0.0,156.16.255.255,EU,CH,Fribourg,Murten/Morat,46.9219,7.16595
