141.1.5.0,141.1.6.255,EU,DE,Bavaria,Munich,48.1351,11.582
141.1.7.0,141.1.7.255,EU,DE,Hesse,"Frankfurt am Main",50.1109,8.68213
141.1.8.0,141.1.9.255,EU,DE,Bavaria,Munich,48.1351,11.582
141.1.10.0,141.1.10.255,EU,DE,Bavaria,Munich,48.1367,11.5768
141.1.11.0,141.1.14.255,EU,DE,Bavaria,Munich,48.1351,11.582
141.1.15.0,141.1.16.255,EU,DE,Bavaria,Munich,48.1367,11.5768
141.1.17.0,141.1.17.255,EU,DE,Hesse,"Frankfurt am Main",50.1109,8.68213
141.1.18.0,141.1.19.255,EU,DE,Bavaria,Munich,48.1367,11.5768
141.1.20.0,141.1.22.255,EU,DE,Bavaria,Munich,48.1351,11.582
141.1.23.0,141.1.23.255,EU,DE,Hesse,"Frankfurt am Main",50.1109,8.68213
141.1.24.0,141.1.25.255,EU,DE,Bavaria,Munich,48.1367,11.5768
141.1.26.0,141.1.28.255,EU,DE,Bavaria,Munich,48.1351,11.582
141.1.29.0,141.1.29.255,EU,DE,Bavaria,Munich,48.1367,11.5768
141.1.30.0,141.1.30.255,EU,DE,Hesse,"Frankfurt am Main",50.1109,8.68213
141.1.31.0,141.1.32.255,EU,DE,Bavaria,Munich,48.1367,11.5768
141.1.33.0,141.1.36.255,EU,DE,Hesse,"Frankfurt am Main",50.1109,8.68213
141.1.37.0,141.1.37.255,EU,DE,Bavaria,Munich,48.1367,11.5768
141.1.38.0,141.1.38.255,EU,DE,Bavaria,Munich,48.1351,11.582
141.1.39.0,141.1.39.255,EU,DE,Bavaria,Munich,48.1367,11.5768
141.1.40.0,141.1.40.255,EU,DE,Hesse,"Frankfurt am Main",50.1109,8.68213
141.1.41.0,141.1.41.255,EU,DE,Bavaria,Munich,48.1351,11.582
141.1.42.0,141.1.44.255,EU,DE,Bavaria,Munich,48.1367,11.5768
141.1.45.0,141.1.45.255,EU,DE,Hesse,"Frankfurt am Main",50.1109,8.68213
141.1.46.0,141.1.47.255,EU,DE,Bavaria,Munich,48.1367,11.5768
141.1.48.0,141.1.48.255,EU,DE,Hesse,"Frankfurt am Main",50.1109,8.68213
141.1.49.0,141.1.49.255,EU,DE,Bavaria,Munich,48.1367,11.5768
141.1.50.0,141.1.51.255,EU,DE,Hesse,"Frankfurt am Main",50.1109,8.68213
141.1.52.0,141.1.53.255,EU,DE,Bavaria,Munich,48.1367,11.5768
141.1.54.0,141.1.54.255,EU,DE,Hesse,"Frankfurt am Main",50.1109,8.68213
141.1.55.0,141.1.57.255,EU,DE,Bavaria,Munich,48.1367,11.5768
141.1.58.0,141.1.62.255,EU,DE,Bavaria,Munich,48.1351,11.582
141.1.63.0,141.1.63.255,EU,DE,Bavaria,Munich,48.1367,11.5768
