34.65.119.224,34.65.120.207,NA,US,"New Jersey",Newark,40.7357,-74.1724
34.65.120.208,34.65.122.31,NA,US,Virginia,Ashburn,39.0438,-77.4874
34.65.122.32,34.65.122.255,NA,US,"New Jersey",Newark,40.7357,-74.1724
34.65.123.0,34.65.124.95,NA,US,Virginia,Ashburn,39.0438,-77.4874
34.65.124.96,34.65.125.15,NA,US,"New Jersey",Newark,40.7357,-74.1724
34.65.125.16,34.65.125.255,NA,US,Virginia,Ashburn,39.0438,-77.4874
34.65.126.0,34.65.127.15,NA,US,"New Jersey",Newark,40.7357,-74.1724
34.65.127.16,34.65.128.31,NA,US,Virginia,Ashburn,39.0438,-77.4874
34.65.128.32,34.65.128.79,NA,US,"New Jersey",Newark,40.7357,-74.1724
34.65.128.80,34.65.130.31,NA,US,Virginia,Ashburn,39.0438,-77.4874
34.65.130.32,34.65.130.175,NA,US,"New Jersey",Newark,40.7357,-74.1724
34.65.130.176,34.65.132.47,NA,US,Virginia,Ashburn,39.0438,-77.4874
34.65.132.48,34.65.132.223,NA,US,"New Jersey",Newark,40.7357,-74.1724
34.65.132.224,34.65.133.255,NA,US,Virginia,Ashburn,39.0438,-77.4874
34.65.134.0,34.65.135.15,NA,US,"New Jersey",Newark,40.7357,-74.1724
34.65.135.16,34.65.136.63,NA,US,Virginia,Ashburn,39.0438,-77.4874
34.65.136.64,34.65.137.15,NA,US,"New Jersey",Newark,40.7357,-74.1724
34.65.137.16,34.65.138.159,NA,US,Virginia,Ashburn,39.0438,-77.4874
34.65.138.160,34.65.139.15,NA,US,"New Jersey",Newark,40.7357,-74.1724
34.65.139.16,34.65.140.31,NA,US,Virginia,Ashburn,39.0438,-77.4874
34.65.140.32,34.65.141.15,NA,US,"New Jersey",Newark,40.7357,-74.1724
34.65.141.16,34.65.142.15,NA,US,Virginia,Ashburn,39.0438,-77.4874
34.65.142.16,34.65.142.239,NA,US,"New Jersey",Newark,40.7357,-74.1724
34.65.142.240,34.65.144.95,NA,US,Virginia,Ashburn,39.0438,-77.4874
34.65.144.96,34.65.144.255,NA,US,"New Jersey",Newark,40.7357,-74.1724
34.65.145.0,34.65.146.159,NA,US,Virginia,Ashburn,39.0438,-77.4874
34.65.146.160,34.65.147.15,NA,US,"New Jersey",Newark,40.7357,-74.1724
34.65.147.16,34.65.148.47,NA,US,Virginia,Ashburn,39.0438,-77.4874
34.65.148.48,34.65.149.31,NA,US,"New Jersey",Newark,40.7357,-74.1724
34.65.149.32,34.65.150.31,NA,US,Virginia,Ashburn,39.0438,-77.4874
34.65.150.32,34.65.150.47,NA,US,"New Jersey",Newark,40.7357,-74.1724
34.65.150.48,34.65.152.111,NA,US,Virginia,Ashburn,39.0438,-77.4874
34.65.152.112,34.65.152.127,NA,US,"New Jersey",Newark,40.7357,-74.1724
34.65.152.128,34.65.154.15,NA,US,Virginia,Ashburn,39.0438,-77.4874
34.65.154.16,34.65.154.255,NA,US,"New Jersey",Newark,40.7357,-74.1724
34.65.155.0,34.65.156.143,NA,US,Virginia,Ashburn,39.0438,-77.4874
34.65.156.144,34.65.156.223,NA,US,"New Jersey",Newark,40.7357,-74.1724
34.65.156.224,34.65.158.63,NA,US,Virginia,Ashburn,39.0438,-77.4874
34.65.158.64,34.65.158.191,NA,US,"New Jersey",Newark,40.7357,-74.1724
34.65.158.192,34.65.159.255,NA,US,Virginia,Ashburn,39.0438,-77.4874
34.65.160.0,34.65.160.239,NA,US,"New Jersey",Newark,40.7357,-74.1724
