36.3.72.0,36.3.72.255,AS,JP,Kanagawa,Yokohama,35.4333,139.65
36.3.73.0,36.3.74.255,AS,JP,Tokyo,Chiyoda,35.6906,139.77
36.3.75.0,36.3.75.255,AS,JP,Toyama,Yatsuomachi-higashikumisaka,36.5667,137.133
36.3.76.0,36.3.76.255,AS,JP,Chiba,Ichikawa-minami,35.7263,139.904
36.3.77.0,36.3.77.255,AS,JP,Tokyo,Tokyo,35.6895,139.692
36.3.78.0,36.3.79.255,AS,JP,Tokyo,Chiyoda,35.6906,139.77
36.3.80.0,36.3.80.255,AS,JP,Hokkaido,Obihiro,42.9172,143.204
36.3.81.0,36.3.81.255,AS,JP,Hokkaido,Sapporo,43.0667,141.35
36.3.82.0,36.3.82.255,AS,JP,Tokyo,Chiyoda,35.6906,139.77
36.3.83.0,36.3.83.255,AS,JP,Aichi,Nagoya,35.1814,136.906
36.3.84.0,36.3.84.255,AS,JP,Saitama,Kawaguchi,35.8052,139.711
36.3.85.0,36.3.85.255,AS,JP,Tokyo,Komae,35.6342,139.575
36.3.86.0,36.3.86.255,AS,JP,Nara,Kashihara-shi,34.509,135.793
36.3.87.0,36.3.87.255,AS,JP,Tokyo,Chiyoda,35.6906,139.77
36.3.88.0,36.3.88.255,AS,JP,Tokyo,Chūō,35.6804,139.772
36.3.89.0,36.3.91.255,AS,JP,Tokyo,Chiyoda,35.6906,139.77
36.3.92.0,36.3.92.255,AS,JP,Kanagawa,Yokohama,35.4333,139.65
36.3.93.0,36.3.93.255,AS,JP,Kanagawa,Kawasaki,35.5206,139.717
36.3.94.0,36.3.97.255,AS,JP,Tokyo,Chiyoda,35.6906,139.77
36.3.98.0,36.3.99.255,AS,JP,Tokyo,Chūō,35.6804,139.772
36.3.100.0,36.3.100.255,AS,JP,Kanagawa,Yokohama,35.4333,139.65
36.3.101.0,36.3.102.255,AS,JP,Kanagawa,Yokohama,35.4437,139.638
36.3.103.0,36.3.106.255,AS,JP,Tokyo,Chiyoda,35.6906,139.77
36.3.107.0,36.3.108.255,AS,JP,Tokyo,Chūō,35.6804,139.772
36.3.109.0,36.3.110.255,AS,JP,Tokyo,Chiyoda,35.6906,139.77
36.3.111.0,36.3.111.255,AS,JP,Tokyo,Chūō,35.6804,139.772
36.3.112.0,36.3.116.255,AS,JP,Tokyo,Chiyoda,35.6906,139.77
36.3.117.0,36.3.117.255,AS,JP,Tokyo,Komae,35.6342,139.575
36.3.118.0,36.3.119.255,AS,JP,Tokyo,Chiyoda,35.6906,139.77
36.3.120.0,36.3.124.255,AS,JP,Tokyo,Chūō,35.6804,139.772
36.3.125.0,36.3.125.255,AS,JP,Tokyo,Chiyoda,35.6906,139.77
36.3.126.0,36.3.127.255,AS,JP,Tokyo,Chūō,35.6804,139.772
36.3.128.0,36.3.128.255,AS,JP,Tokyo,"Chiyoda (Marunouchi)",35.6773,139.765
36.3.129.0,36.3.132.255,AS,JP,Tokyo,Chiyoda,35.6906,139.77
36.3.133.0,36.3.133.255,AS,JP,Kanagawa,Hakone,35.1894,139.026
36.3.134.0,36.3.137.255,AS,JP,Tokyo,Chiyoda,35.6906,139.77
36.3.138.0,36.3.138.255,AS,JP,Tokyo,"Chiyoda (Marunouchi)",35.6773,139.765
36.3.139.0,36.3.143.255,AS,JP,Tokyo,Chiyoda,35.6906,139.77
36.3.144.0,36.3.144.255,AS,JP,Tokyo,Chūō,35.6804,139.772
36.3.145.0,36.3.145.255,AS,JP,Yamagata,Yamagata,38.2333,140.367
36.3.146.0,36.3.146.255,AS,JP,Tokyo,Chūō,35.6804,139.772
36.3.147.0,36.3.150.255,AS,JP,Aichi,Toyokawa,34.8518,137.316
36.3.151.0,36.3.151.255,AS,JP,Tokyo,Chūō,35.6804,139.772
36.3.152.0,36.3.152.255,AS,JP,Tokyo,"Chiyoda (Marunouchi)",35.6773,139.765
36.3.153.0,36.3.153.255,AS,JP,Tokyo,Chūō,35.6804,139.772
36.3.154.0,36.3.154.255,AS,JP,Saitama,Koshigaya,35.8904,139.789
36.3.155.0,36.3.156.255,AS,JP,Tokyo,Chiyoda,35.6906,139.77
36.3.157.0,36.3.157.255,AS,JP,Kanagawa,Yokohama,35.4333,139.65
36.3.158.0,36.3.158.255,AS,JP,Tokyo,"Chiyoda (Marunouchi)",35.6773,139.765
36.3.159.0,36.3.159.255,AS,JP,Kanagawa,Yokohama,35.4437,139.638
36.3.160.0,36.3.160.255,AS,JP,Kanagawa,Minamiashigara,35.3195,139.11
36.3.161.0,36.3.161.255,AS,JP,Tokyo,"Chiyoda (Marunouchi)",35.6773,139.765
36.3.162.0,36.3.164.255,AS,JP,Tokyo,Chūō,35.6804,139.772
36.3.165.0,36.3.165.255,AS,JP,Tokyo,"Chiyoda (Marunouchi)",35.6773,139.765
36.3.166.0,36.3.168.255,AS,JP,Tokyo,Chiyoda,35.6906,139.77
36.3.169.0,36.3.169.255,AS,JP,Kanagawa,Yokohama,35.4333,139.65
36.3.170.0,36.3.170.255,AS,JP,Kanagawa,Yokohama,35.4437,139.638
36.3.171.0,36.3.171.255,AS,JP,Kanagawa,Kamakura,35.3089,139.55
36.3.172.0,36.3.172.255,AS,JP,Kanagawa,Yokohama,35.4437,139.638
36.3.173.0,36.3.173.255,AS,JP,Tokyo,Chiyoda,35.6906,139.77
36.3.174.0,36.3.174.255,AS,JP,Tokyo,Komae,35.6342,139.575
36.3.175.0,36.3.175.255,AS,JP,Tokyo,Chiyoda,35.6906,139.77
36.3.176.0,36.3.177.255,AS,JP,Kanagawa,Yokohama,35.4437,139.638
36.3.178.0,36.3.178.255,AS,JP,Tokyo,Chiyoda,35.6906,139.77
36.3.179.0,36.3.179.255,AS,JP,Tokyo,Machida,35.5403,139.451
36.3.180.0,36.3.181.255,AS,JP,Tokyo,Chiyoda,35.6906,139.77
36.3.182.0,36.3.182.255,AS,JP,Kanagawa,Yamato,35.4728,139.451
36.3.183.0,36.3.183.255,AS,JP,Kanagawa,Yokohama,35.4333,139.65
36.3.184.0,36.3.184.255,AS,JP,Kanagawa,Kawasaki,35.5206,139.717
36.3.185.0,36.3.185.255,AS,JP,Kanagawa,Yokohama,35.4333,139.65
36.3.186.0,36.3.190.255,AS,JP,Tokyo,Chiyoda,35.6906,139.77
36.3.191.0,36.3.191.255,AS,JP,Tokyo,Komae,35.6342,139.575
36.3.192.0,36.3.193.255,AS,JP,Tokyo,Chiyoda,35.6906,139.77
36.3.194.0,36.3.194.255,AS,JP,Kanagawa,Ōiso,35.3156,139.316
36.3.195.0,36.3.195.255,AS,JP,Kanagawa,Kawasaki,35.5206,139.717
36.3.196.0,36.3.196.255,AS,JP,Kanagawa,Yokohama,35.4437,139.638
36.3.197.0,36.3.199.255,AS,JP,Tokyo,Chiyoda,35.6906,139.77
36.3.200.0,36.3.200.255,AS,JP,Kanagawa,Fujisawa,35.3493,139.477
36.3.201.0,36.3.202.255,AS,JP,Tokyo,Chiyoda,35.6906,139.77
36.3.203.0,36.3.203.255,AS,JP,Kanagawa,Yokohama,35.4437,139.638
36.3.204.0,36.3.211.63,AS,JP,Tokyo,Chiyoda,35.6906,139.77
36.3.211.64,36.3.211.255,AS,JP,Shimane,Matsue,35.4833,133.05
36.3.212.0,36.3.212.255,AS,JP,Ishikawa,Nonoichi,36.5333,136.617
36.3.213.0,36.3.213.255,AS,JP,Ehime,Ōzu,33.5,132.55
36.3.214.0,36.3.214.255,AS,JP,Tokyo,Chiyoda,35.6906,139.77
36.3.215.0,36.3.215.255,AS,JP,Kagoshima,Kirishima,31.7409,130.763
36.3.216.0,36.3.217.255,AS,JP,Tokyo,Chiyoda,35.6906,139.77
36.3.218.0,36.3.218.255,AS,JP,Okinawa,Urasoe,26.259,127.73
36.3.219.0,36.3.219.255,AS,JP,Tokyo,Chiyoda,35.6906,139.77
36.3.220.0,36.3.220.127,AS,JP,Kochi,Nakamura,32.9833,132.933
36.3.220.128,36.3.226.255,AS,JP,Tokyo,Chiyoda,35.6906,139.77
36.3.227.0,36.3.227.255,AS,JP,Tottori,Kurayoshi,35.4333,133.817
36.3.228.0,36.3.228.255,AS,JP,Yamaguchi,Iwakuni,34.163,132.22
36.3.229.0,36.3.234.255,AS,JP,Tokyo,Chiyoda,35.6906,139.77
36.3.235.0,36.3.235.255,AS,JP,Kyoto,Kyōtanabe,34.8045,135.767
36.3.236.0,36.3.240.255,AS,JP,Tokyo,Chiyoda,35.6906,139.77
36.3.241.0,36.3.241.255,AS,JP,Ōsaka,Osaka,34.6937,135.502
36.3.242.0,36.3.244.255,AS,JP,Tokyo,Chūō,35.6804,139.772
36.3.245.0,36.3.246.255,AS,JP,Tokyo,Chiyoda,35.6906,139.77
36.3.247.0,36.3.247.255,AS,JP,Kanagawa,Yokohama,35.4437,139.638
36.3.248.0,36.3.248.255,AS,JP,Tokyo,Komae,35.6342,139.575
36.3.249.0,36.3.249.255,AS,JP,Hyōgo,Kawanishi,34.8167,135.417
36.3.250.0,36.3.250.127,AS,JP,Ōsaka,Osaka,34.6937,135.502
36.3.250.128,36.3.253.255,AS,JP,Tokyo,Chiyoda,35.6906,139.77
36.3.254.0,36.3.254.255,AS,JP,Aomori,Aomori,40.8167,140.733
36.3.255.0,36.3.255.255,AS,JP,Niigata,Sanjō,37.6167,138.95
36.4.0.0,36.4.30.255,AS,CN,Anhui,Hefei,31.8612,117.285
36.4.31.0,36.4.31.255,AS,CN,Anhui,Longcheng,34.1845,116.951
36.4.32.0,36.4.146.255,AS,CN,Anhui,Hefei,31.8612,117.285
36.4.147.0,36.4.147.255,AS,CN,Anhui,Tongling,30.95,117.783
36.4.148.0,36.5.26.255,AS,CN,Anhui,Hefei,31.8612,117.285
36.5.27.0,36.5.27.255,AS,CN,Anhui,Lucheng,31.2336,117.281
36.5.28.0,36.5.201.255,AS,CN,Anhui,Hefei,31.8612,117.285
36.5.202.0,36.5.202.255,AS,CN,Anhui,Shangpai,31.7456,117.161
36.5.203.0,36.6.6.255,AS,CN,Anhui,Hefei,31.8612,117.285
36.6.7.0,36.6.7.255,AS,CN,Anhui,Chuzhou,32.3219,118.298
36.6.8.0,36.7.188.255,AS,CN,Anhui,Hefei,31.8612,117.285
36.7.189.0,36.7.189.255,AS,CN,Anhui,Hefei,31.8639,117.281
36.7.190.0,36.7.255.255,AS,CN,Anhui,Hefei,31.8612,117.285
