179.6.50.0,179.6.55.255,SA,PE,"Lima region","Independencia (San Martin De Porres)",-12.0228,-77.0736
179.6.56.0,179.6.57.255,SA,PE,Tacna,Tacna,-18.0147,-70.2536
179.6.58.0,179.6.191.255,SA,PE,"Lima region","Independencia (San Martin De Porres)",-12.0228,-77.0736
179.6.192.0,179.6.192.255,SA,PE,Callao,Callao,-12.0566,-77.1181
179.6.193.0,179.6.194.35,SA,PE,"Lima region","Independencia (San Martin De Porres)",-12.0228,-77.0736
179.6.194.36,179.6.194.255,SA,PE,Ica,Pisco,-13.7103,-76.2054
179.6.195.0,179.6.196.255,SA,PE,"Lima region","Santiago de Surco",-12.1359,-77.0074
179.6.197.0,179.6.197.255,SA,PE,"Lima region","Urb. Santo Domingo",-11.8765,-77.0334
179.6.198.0,179.6.198.255,SA,PE,"Lima region","Independencia (San Martin De Porres)",-12.0228,-77.0736
179.6.199.0,179.6.199.255,SA,PE,Callao,Ventanilla,-11.8753,-77.1183
179.6.200.0,179.6.201.255,SA,PE,"Lima region","Santiago de Surco",-12.1359,-77.0074
179.6.202.0,179.6.202.255,SA,PE,"Lima region",Independencia,-11.99,-77.0458
179.6.203.0,179.6.203.255,SA,PE,Callao,Callao,-12.0566,-77.1181
179.6.204.0,179.6.205.31,SA,PE,"Lima region","Santiago de Surco",-12.1359,-77.0074
179.6.205.32,179.6.205.255,SA,PE,"Lima region","Independencia (San Martin De Porres)",-12.0228,-77.0736
179.6.206.0,179.6.206.255,SA,PE,"Lima region","Santiago de Surco",-12.1359,-77.0074
179.6.207.0,179.6.208.255,SA,PE,"Lima region","Independencia (San Martin De Porres)",-12.0228,-77.0736
179.6.209.0,179.6.211.255,SA,PE,"Lima region","La Molina",-12.0833,-76.95
179.6.212.0,179.6.213.255,SA,PE,"Lima region","Independencia (San Martin De Porres)",-12.0228,-77.0736
179.6.214.0,179.6.215.255,SA,PE,Lima,Lima,-12.0432,-77.0282
179.6.216.0,179.6.216.255,SA,PE,"Lima region","La Molina",-12.0833,-76.95
179.6.217.0,179.6.217.255,SA,PE,"Lima region","Santiago de Surco",-12.1359,-77.0074
179.6.218.0,179.6.219.255,SA,PE,"Lima region","Independencia (San Martin De Porres)",-12.0228,-77.0736
179.6.220.0,179.6.220.255,SA,PE,Lima,Lima,-12.0432,-77.0282
179.6.221.0,179.6.221.255,SA,PE,"Lima region","Independencia (San Martin De Porres)",-12.0228,-77.0736
179.6.222.0,179.6.222.255,SA,PE,Lima,Lima,-12.0432,-77.0282
179.6.223.0,179.6.223.255,SA,PE,"Lima region","La Molina",-12.0833,-76.95
179.6.224.0,179.6.251.255,SA,PE,"Lima region","Independencia (San Martin De Porres)",-12.0228,-77.0736
179.6.252.0,179.6.252.255,SA,PE,Loreto,Iquitos,-3.74912,-73.2538
179.6.253.0,179.7.49.15,SA,PE,"Lima region","Independencia (San Martin De Porres)",-12.0228,-77.0736
179.7.49.16,179.7.49.87,SA,PE,"Lima region",Vitarte,-12.0333,-76.9333
179.7.49.88,179.7.50.255,SA,PE,"Lima region","Independencia (San Martin De Porres)",-12.0228,-77.0736
179.7.51.0,179.7.51.247,SA,PE,"Lima region","Punta Hermosa",-12.3333,-76.8167
179.7.51.248,179.7.53.63,SA,PE,"Lima region","Independencia (San Martin De Porres)",-12.0228,-77.0736
179.7.53.64,179.7.53.255,SA,PE,Ica,"El Carmen",-13.4971,-76.0572
179.7.54.0,179.7.54.223,SA,PE,"Lima region","Ricardo Palma",-11.9198,-76.6561
179.7.54.224,179.7.56.255,SA,PE,"Lima region","Independencia (San Martin De Porres)",-12.0228,-77.0736
179.7.57.0,179.7.57.255,SA,PE,Puno,Crucero,-14.35,-70
179.7.58.0,179.7.58.127,SA,PE,"Lima region",Lahuaytambo,-12.1,-76.4
179.7.58.128,179.7.59.255,SA,PE,"Lima region","Independencia (San Martin De Porres)",-12.0228,-77.0736
179.7.60.0,179.7.60.255,SA,PE,Puno,Limbani,-14.1478,-69.6889
179.7.61.0,179.7.61.255,SA,PE,"Lima region","Independencia (San Martin De Porres)",-12.0228,-77.0736
179.7.62.0,179.7.62.255,SA,PE,Puno,Antauta,-14.4,-70.3667
179.7.63.0,179.7.128.255,SA,PE,"Lima region","Independencia (San Martin De Porres)",-12.0228,-77.0736
179.7.129.0,179.7.129.255,SA,PE,"La Libertad",Trujillo,-8.11599,-79.03
179.7.130.0,179.7.136.255,SA,PE,"Lima region","Independencia (San Martin De Porres)",-12.0228,-77.0736
179.7.137.0,179.7.137.255,SA,PE,Lambayeque,Chiclayo,-6.77137,-79.8409
179.7.138.0,179.7.192.255,SA,PE,"Lima region","Independencia (San Martin De Porres)",-12.0228,-77.0736
179.7.193.0,179.7.193.255,SA,PE,Piura,Sullana,-4.90389,-80.6853
179.7.194.0,179.7.223.255,SA,PE,"Lima region","Independencia (San Martin De Porres)",-12.0228,-77.0736
179.7.224.0,179.7.224.191,SA,PE,Arequipa,Arequipa,-16.3989,-71.535
179.7.224.192,179.7.225.255,SA,PE,"Lima region","Independencia (San Martin De Porres)",-12.0228,-77.0736
179.7.226.0,179.7.226.255,SA,PE,Arequipa,Arequipa,-16.3989,-71.535
179.7.227.0,179.7.255.255,SA,PE,"Lima region","Independencia (San Martin De Porres)",-12.0228,-77.0736
179.8.0.0,179.8.0.255,SA,CL,"Santiago Metropolitan",Providencia,-33.4314,-70.6093
179.8.1.0,179.8.1.255,SA,CL,"Coquimbo Region","La Serena",-29.9045,-71.2489
179.8.2.0,179.8.3.255,SA,CL,"Santiago Metropolitan",Providencia,-33.4314,-70.6093
179.8.4.0,179.8.4.255,SA,CL,"Coquimbo Region","La Serena",-29.9045,-71.2489
179.8.5.0,179.8.8.255,SA,CL,"Santiago Metropolitan",Providencia,-33.4314,-70.6093
179.8.9.0,179.8.9.255,SA,CL,"Coquimbo Region","La Serena",-29.9045,-71.2489
179.8.10.0,179.8.10.255,SA,CL,"Santiago Metropolitan",Providencia,-33.4314,-70.6093
179.8.11.0,179.8.13.255,SA,CL,"Coquimbo Region","La Serena",-29.9045,-71.2489
179.8.14.0,179.8.18.255,SA,CL,"Santiago Metropolitan",Providencia,-33.4314,-70.6093
179.8.19.0,179.8.19.255,SA,CL,"Coquimbo Region","La Serena",-29.9045,-71.2489
179.8.20.0,179.8.20.255,SA,CL,"Coquimbo Region",Illapel,-31.6335,-71.1697
179.8.21.0,179.8.25.255,SA,CL,"Santiago Metropolitan",Providencia,-33.4314,-70.6093
179.8.26.0,179.8.26.255,SA,CL,"Coquimbo Region","La Serena",-29.9045,-71.2489
179.8.27.0,179.8.30.255,SA,CL,"Santiago Metropolitan",Providencia,-33.4314,-70.6093
179.8.31.0,179.8.31.255,SA,CL,"Coquimbo Region",Illapel,-31.6335,-71.1697
179.8.32.0,179.8.33.255,SA,CL,"Coquimbo Region","La Serena",-29.9045,-71.2489
179.8.34.0,179.8.34.255,SA,CL,"Santiago Metropolitan",Providencia,-33.4314,-70.6093
179.8.35.0,179.8.36.255,SA,CL,"Coquimbo Region","La Serena",-29.9045,-71.2489
179.8.37.0,179.8.39.255,SA,CL,"Santiago Metropolitan",Providencia,-33.4314,-70.6093
179.8.40.0,179.8.40.255,SA,CL,"Coquimbo Region","La Serena",-29.9045,-71.2489
