134.11.25.0,134.11.25.255,NA,US,Virginia,Sterling,39.0067,-77.4291
134.11.26.0,134.11.31.255,NA,US,Illinois,Chicago,41.8781,-87.6298
134.11.32.0,134.11.47.255,NA,US,Arizona,"Sierra Vista (Fort Huachuca)",31.5552,-110.35
134.11.48.0,134.11.52.255,NA,US,Illinois,Chicago,41.8781,-87.6298
134.11.53.0,134.11.58.255,NA,US,Virginia,Sterling,39.0067,-77.4291
134.11.59.0,134.11.66.255,NA,US,Illinois,Chicago,41.8781,-87.6298
134.11.67.0,134.11.67.255,NA,US,Virginia,Sterling,39.0067,-77.4291
134.11.68.0,134.11.71.255,NA,US,Illinois,Chicago,41.8781,-87.6298
134.11.72.0,134.11.79.255,NA,US,Arizona,"Sierra Vista (Fort Huachuca)",31.5552,-110.35
134.11.80.0,134.11.80.255,NA,US,Illinois,Chicago,41.8781,-87.6298
134.11.81.0,134.11.81.255,NA,US,Virginia,Sterling,39.0067,-77.4291
134.11.82.0,134.11.87.255,NA,US,Illinois,Chicago,41.8781,-87.6298
134.11.88.0,134.11.89.255,NA,US,Virginia,Sterling,39.0067,-77.4291
134.11.90.0,134.11.90.255,NA,US,Illinois,Chicago,41.8781,-87.6298
134.11.91.0,134.11.91.255,NA,US,Virginia,Sterling,39.0067,-77.4291
134.11.92.0,134.11.93.255,NA,US,Illinois,Chicago,41.8781,-87.6298
134.11.94.0,134.11.95.255,NA,US,Virginia,Sterling,39.0067,-77.4291
134.11.96.0,134.11.101.255,NA,US,Illinois,Chicago,41.8781,-87.6298
134.11.102.0,134.11.102.255,NA,US,Virginia,Sterling,39.0067,-77.4291
134.11.103.0,134.11.103.255,NA,US,Illinois,Chicago,41.8781,-87.6298
134.11.104.0,134.11.127.255,NA,US,Arizona,"Sierra Vista (Fort Huachuca)",31.5552,-110.35
134.11.128.0,134.11.128.255,NA,US,Virginia,Sterling,39.0067,-77.4291
134.11.129.0,134.11.129.255,NA,US,Illinois,Chicago,41.8781,-87.6298
134.11.130.0,134.11.132.255,NA,US,Virginia,Sterling,39.0067,-77.4291
134.11.133.0,134.11.135.255,NA,US,Illinois,Chicago,41.8781,-87.6298
134.11.136.0,134.11.159.255,NA,US,Arizona,"Sierra Vista (Fort Huachuca)",31.5552,-110.35
134.11.160.0,134.11.160.255,NA,US,Illinois,Chicago,41.8781,-87.6298
134.11.161.0,134.11.163.255,NA,US,Virginia,Sterling,39.0067,-77.4291
134.11.164.0,134.11.167.255,NA,US,Illinois,Chicago,41.8781,-87.6298
134.11.168.0,134.11.168.255,NA,US,Virginia,Sterling,39.0067,-77.4291
134.11.169.0,134.11.175.255,NA,US,Illinois,Chicago,41.8781,-87.6298
134.11.176.0,134.11.183.255,NA,US,Arizona,"Sierra Vista (Fort Huachuca)",31.5552,-110.35
134.11.184.0,134.11.189.255,NA,US,Illinois,Chicago,41.8781,-87.6298
134.11.190.0,134.11.190.255,NA,US,Virginia,Sterling,39.0067,-77.4291
134.11.191.0,134.11.196.255,NA,US,Illinois,Chicago,41.8781,-87.6298
134.11.197.0,134.11.197.255,NA,US,Virginia,Sterling,39.0067,-77.4291
134.11.198.0,134.11.199.255,NA,US,Illinois,Chicago,41.8781,-87.6298
134.11.200.0,134.11.231.255,NA,US,Arizona,"Sierra Vista (Fort Huachuca)",31.5552,-110.35
134.11.232.0,134.11.233.255,NA,US,Virginia,Sterling,39.0067,-77.4291
134.11.234.0,134.11.245.255,NA,US,Illinois,Chicago,41.8781,-87.6298
134.11.246.0,134.11.248.255,NA,US,Virginia,Sterling,39.0067,-77.4291
134.11.249.0,134.11.249.255,NA,US,Illinois,Chicago,41.8781,-87.6298
134.11.250.0,134.11.251.255,NA,US,Virginia,Sterling,39.0067,-77.4291
134.11.252.0,134.12.191.255,NA,US,Illinois,Chicago,41.8781,-87.6298
134.12.192.0,134.12.199.255,NA,US,Alabama,Huntsville,34.6474,-86.6743
134.12.200.0,134.12.255.255,NA,US,Illinois,Chicago,41.8781,-87.6298
134.13.0.0,134.13.255.255,NA,US,Colorado,"Greenwood Village",39.6004,-104.891
